Name,BirthDate,DeathDate,DebutDate,LastFilmDate,Movies,Date of Death 2
Soundarya,7/18/1972,,,,"Ghayal, Jurm, Mohra","Soundarya,"
Sowcar Janaki,12/12/1931,alive,,,"Rogue, Winner, Commando 2","Sowcar Janaki,alive"
Spruha Joshi,10/13/1989,alive,,,"Baaghi, Heropanti, War","Spruha Joshi,alive"
Sriti Jha,2/26/1986,alive,,,"Jo Jeeta Wohi Sikandar, Andaz Apna Apna, Raja Hindustani","Sriti Jha,alive"
Sri Divya,4/1/1993,alive,,,"Chokher Bali, Parineeta","Sri Divya,alive"
Srividya,7/24/1953,10/19/2006,,,"Deewaar, Sharaabi, Khud-Daar","Srividya, 19 October 2006"
Subbulakshmi,9/16/1916,12/11/2004,,,"Taare Zameen Par, Dil Toh Baccha Hai Ji, Ankur Arora Murder Case","Subbulakshmi, 11 December 2004"
Subhashri,7/18/1975,alive,,,"Shatranj Ke Khilari, Kranti, Aashiqui","Subhashri,alive"
Suchitra Pillai,8/27/1970,alive,,,"Chokher Bali, Kahaani, Barfi!","Suchitra Pillai,alive"
Suchitra Sen,4/6/1931,1/17/2014,,,"Mughal-E-Azam, Do Raaste, Amar Prem","Suchitra Sen, 17 January 2014"
Sudha Chandran,9/27/1965,alive,,,"Varsham, Nuvvostanante Nenoddantana, 96, Petta","Sudha Chandran,alive"
Suhasini,8/15/1961,alive,,,"Padosan, Chalti Ka Naam Gaadi, Jhumroo","Suhasini,alive"
Sukumari,10/6/1940,3/26/2013,,,"Kyaa Kool Hai Hum, Golmaal, Shootout at Lokhandwala","Sukumari, 26 March 2013"
Sulochana Devi,7/30/1928,alive,,,"Dhoom series, Mohabbatein, Neal 'n' Nikki","Sulochana Devi,alive"
Sumalatha,8/27/1963,alive,,,"Zeher, Aksar, Paap","Sumalatha,alive"
Sunny Leone,5/13/1981,alive,,,Fashion,"Sunny Leone,alive"
Surbhi Chandna,9/11/1989,alive,,,"Jhansi Ki Rani, Resham Dankh","Surbhi Chandna,alive"
Surbhi Jyoti,5/29/1988,alive,,,"Aa Dinagalu, Mungarina Minchu","Surbhi Jyoti,alive"
Supriya Devi,1/8/1933,1/26/2018,,,"Judaai, Masti, Hungama","Supriya Devi, 26 January 2018"
Supriya Pathak,1/7/1961,alive,,,"Namastey London, Shakalaka Boom Boom, 36 China Town","Supriya Pathak,alive"
Suraiya,6/15/1929,1/31/2004,,,"Jogwa, Taryanche Bait, Yellow","Suraiya, 31 January 2004"
Surveen Chawla,8/1/1984,alive,,,"Baa Ae Maari Boundary, Bhavni Bhavai, Jode Rahejo Raj","Surveen Chawla,alive"
Sushmita Sen,11/19/1975,alive,,,"Shubha Mangal Savdhan, Timepass 2","Sushmita Sen,alive"
Sumalatha,8/27/1963,alive,,,"Rangeela, Satya, Bhoot, Judaai","Sumalatha,alive"
Swati Reddy,4/19/1987,alive,,,"Chhaya, Dekh Bhai Dekh, Naagin 6","Swati Reddy,alive"
Swaroop Sampat,11/3/1958,alive,,,"Singh Saab the Great, Great Grand Masti, Hate Story 4","Swaroop Sampat,alive"
Swastika Mukherjee,12/13/1980,alive,,,"Khatta Meetha, Naqaab, Baabarr","Swastika Mukherjee,alive"
Srinidhi Shetty,10/21/1992,alive,,,"Baadshah, Kabhi Khushi Kabhie Gham, Dil Apna Preet Parai","Srinidhi Shetty,alive"
Swara Bhaskar,4/9/1988,alive,,,"Vaastav, Dabangg 2, Bhagwan Dada","Swara Bhaskar,alive"
Tanushree Dutta,3/19/1984,alive,,,"Gol Maal, Rang Birangi, Naram Garam","Tanushree Dutta,alive"
Tanuja,9/23/1943,alive,,,"Saptapadi, Nayak, Chiriyakhana","Tanuja,alive"
Tamannaah Bhatia,12/21/1989,alive,,,"Shuddh Desi Romance, Befikre, War, Bell Bottom","Tamannaah Bhatia,alive"
Taapsee Pannu,8/1/1987,alive,,,"Vrundavan, Simmba, Lalbaugchi Rani, Medium Spicy","Taapsee Pannu,alive"
Tara Anuradha,3/4/1973,alive,,,"Thayi Saheba, Mooru Guttu Ondu Sullu Ondu Nija, Bayalaata","Tara Anuradha,alive"
Tara D'Souza,12/20/1986,alive,,,"Maza Pati Karodpati, Wazir, Mi Shivajiraje Bhosale Boltoy, Panga","Tara D'Souza,alive"
Tara Sharma,1/11/1977,alive,,,"Oh My Kadavule, Meeku Maathrame Cheptha, Lock Up","Tara Sharma,alive"
Tarana Raja,1/24/1977,alive,,,"Podaa Podi, Madha Gaja Raja, Sarkar, Danny","Tarana Raja,alive"
Taruni Sachdev,5/14/1998,5/14/2012,,,"Karakattakaran, Chinna Thambi, Naan Kadavul, Kabali","Taruni Sachdev, 14 May 2012"
Tina Dutta,11/27/1991,alive,,,"Pathar Ke Phool, Kondura, Asli Naqli, Ghar Aaya Mera Pardesi","Tina Dutta,alive"
Tisca Chopra,11/1/1973,alive,,,"Hey Ram, Citizen, Monsoon Wedding, Ravana Prabhu","Tisca Chopra,alive"
Trisha Krishnan,5/4/1983,alive,,,"Astitva...Ek Prem Kahani, Phir Subah Hogi, Aek Chabhi Hai Padoss Mein","Trisha Krishnan,alive"
Tun Tun,7/11/1923,11/24/2003,,,"Badlapur, ABCD 2, Judwaa 2","Tun Tun, 24 November 2003"
Tara Sutaria,11/19/1995,alive,,,"Fukrey, Chhichhore, Dilwale","Tara Sutaria,alive"
Udita Goswami,2/9/1984,alive,,,"Saroja, Pasanga 2, Dha Dha 87, Trivisa","Udita Goswami,alive"
Ujjwala Raut,6/11/1978,alive,,,"Kakki Chattai, Bharatham, Varnapakittu, Njangal Santhushtaranu","Ujjwala Raut,alive"
Umashree,5/10/1957,alive,,,"Masaan, Uri: The Surgical Strike, Raazi","Umashree,alive"
Urmila Matondkar,2/4/1974,alive,,,"A Passage to India, Ghare-Baire, Kalyug","Urmila Matondkar,alive"
Urmila Kanitkar,5/4/1986,alive,,,"Parineeta, Lage Raho Munna Bhai, The Dirty Picture, Kahaani","Urmila Kanitkar,alive"
Urvashi Dholakia,7/9/1978,alive,,,"Prema Ishq Kaadhal, Jyothi Lakshmi, Srinivasa Kalyanam, Andhadhi","Urvashi Dholakia,alive"
Urvashi Sharma,10/13/1984,alive,,,"Choti Si Baat, Pati Patni Aur Woh, Rajnigandha, Inkaar","Urvashi Sharma,alive"
Usha Kiran,4/22/1929,3/9/2000,,,"Love Story, Shakti, Rajanigandha, Souten","Usha Kiran, 9 March 2000"
Usha Nadkarni,9/13/1946,alive,,,"Force, Commando, Khuda Haafiz","Usha Nadkarni,alive"
Ulka Gupta,4/12/1997,alive,,,"Yaadon Ki Baaraat, Dhund, Pati Patni Aur Woh","Ulka Gupta,alive"
Upasna Singh,6/29/1975,alive,,,"Monsoon Wedding, Delhi Belly, Gully Boy","Upasna Singh,alive"
Urvashi Rautela,2/25/1994,alive,,,"Pink, Gully Boy, Super 30","Urvashi Rautela,alive"
Vaani Kapoor,8/23/1988,alive,,,"Swayam Krushi, Pasivadi Pranam, Rowdy Inspector, Police Lockup","Vaani Kapoor,alive"
Vanitha Vijayakumar,10/5/1980,alive,,,"Bahar, Madhumati, Ganga Jamuna, Sangam","Vanitha Vijayakumar,alive"
Vadivukkarasi,7/6/1958,alive,,,"Hamsageethe, Bangarada Manushya, Antha, Parashuram","Vadivukkarasi,alive"
Vaidehi Parashurami,2/1/1992,alive,,,"Sholay, Andaz Apna Apna, Qayamat Se Qayamat Tak","Vaidehi Parashurami,alive"
Vaishali Kasaravalli,4/12/1952,9/27/2010,,,"A Death in the Gunj, Chhapaak, Cargo","Vaishali Kasaravalli, 27 September 2010"
Vandana Gupte,7/16/1952,alive,,,"Dil Ne Phir Yaad Kiya, Khuddar, Dil Ki Baazi","Vandana Gupte,alive"
Vani Bhojan,10/28/1988,alive,,,"Bheja Fry, Khosla Ka Ghosla, Rab Ne Bana Di Jodi","Vani Bhojan,alive"
Varalaxmi Sarathkumar,3/5/1985,alive,,,"Amar Akbar Anthony, Muqaddar Ka","Varalaxmi Sarathkumar,alive"
Varsha Usgaonkar,2/28/1968,alive,,,"Amar Prem, Anurodh, Jurmana, Bemisal","Varsha Usgaonkar,alive"
Vasundhara Das,8/18/1977,alive,,,"Dabangg 3, Jolly LLB, 3 Idiots, Lagaan","Vasundhara Das,alive"
Vega Tamotia,5/7/1985,alive,,,"Jai Ho, Firangi, Hum Tum Shabana","Vega Tamotia,alive"
Vidhubala,5/24/1952,alive,,,"Zeher, Hate Story 3, Raaz Reboot","Vidhubala,alive"
Vidya Balan,1/1/1979,alive,,,"Chak De! India, Striker, Kidnap, Once Upon a Time in Mumbai","Vidya Balan,alive"
Vithika Sheru,2/2/1994,alive,,,"Hero, Judwaa 2, Hate Story 4","Vithika Sheru,alive"
Vidya Malvade,3/2/1973,alive,,,"Saudagar, Ram Jaane, Chamatkar","Vidya Malvade,alive"
Vidya Sinha,11/15/1947,8/15/2019,,,"Company, Saathiya, Masti","Vidya Sinha, 15 August 2019"
Vijeta Pandit,8/25/1967,alive,,,"CID, Pyaasa, Guide, Kabhi Kabhie","Vijeta Pandit,alive"
Vijayalakshmi Singh,7/19/1959,alive,,,"Maalai Nerathu Mayakkam, Godha, 9, Diljit Dosanjh's song ""Warning Shots""","Vijayalakshmi Singh,alive"
Vijayashanti,6/24/1966,alive,,,"Vicky Donor, Kaabil, Uri: The Surgical Strike, Bala","Vijayashanti,alive"
Vyjayantimala,8/13/1936,alive,,,"Loveyatri, Dabangg 3","Vyjayantimala,alive"
Waheeda Rehman,2/3/1938,alive,,,"Fan, Time to Dance","Waheeda Rehman,alive"
Wamiqa Gabbi,9/29/1993,alive,,,"Phobia, Dear Zindagi, Made in Heaven, Delhi Crime","Wamiqa Gabbi,alive"
Warina Hussain,10/5/2018,alive,,,"Murder 2, Dum","Warina Hussain,alive"
Waluscha De Sousa,11/28/1979,alive,,,"Junoon, Lakshya, Kabhi Khushi Kabhie Gham","Waluscha De Sousa,alive"
Yami Gautam,11/28/1988,alive,,,"Anjaan Raahen, Parwana, Samjhauta, Aadmi Khil","Yami Gautam,alive"
Yashaswini Dayama,5/27/2016,alive,,,"Parwana, Anuraag, Chhalia, Mere Sajna","Yashaswini Dayama,alive"
Yogeeta Bali,8/13/1952,alive,,,"Pyaasa, Katputtli","Yogeeta Bali,alive"
Yana Gupta,4/23/1979,alive,,,"Om Shanti Om, Afra Tafri","Yana Gupta,alive"
Yukta Mookhey,10/7/1977,alive,,,"Dil Diya Dard Liya, Ganga Jamuna","Yukta Mookhey,alive"
Yuvika Chaudhary,8/2/1983,alive,,,"Dangal, Secret Superstar","Yuvika Chaudhary,alive"
Zaira Wasim,10/23/2000,alive,,,"Veer, Housefull 2, Hate Story 3","Zaira Wasim,alive"
Zarine Khan,5/14/1987,alive,,,"Main Hoon Na, Shabd, Yuvvraaj","Zarine Khan,alive"
Zoya Afroz,1/10/1994,alive,,,"Hare Rama Hare Krishna, Yaadon Ki Baaraat, Don","Zoya Afroz,alive"
Zoa Morani,3/29/1988,alive,,,"Always Kabhi Kabhi, Bhaag Johnny, Zed Plus","Zoa Morani,alive"
Zeenat Aman,11/19/1951,alive,,,"The Xposé, Sadiyaan","Zeenat Aman,alive"
Zoya Khan,4/17/1992,alive,,,"Highway, Junooniyat, Beyond the Clouds","Zoya Khan,alive"
Zubeida,3/25/1905,9/21/1988,,,"Mission China, Mon Jai, Mission China","Zubeida, 21 September 1988"
Zaheeda,10/9/1944,alive,,,"Hare Rama Hare Krishna, Anokhi Pehchan, Chhoti Si Mulaqat","Zaheeda,alive"
